Z_PK,Z_ENT,Z_OPT,ZKIND,ZMETADATA,ZTAG,ZHASPROCESS,Z13_HASPROCESS,ZALLFLOWS,ZBILLCYCLEEND,ZJUMBOFLOWS,ZTIMESTAMP,ZWIFIIN,ZWIFIOUT,ZWIREDIN,ZWIREDOUT,ZWWANIN,ZWWANOUT,ZXIN,ZXOUT
157,9,5,0,0,0,157,13,3.0,,0.0,607052611.518866,36422.0,13403.0,0.0,0.0,0.0,0.0,0.0,0.0
158,9,2,0,0,0,158,13,7.0,,0.0,607052716.265094,126582.0,2658094.0,0.0,0.0,0.0,0.0,0.0,0.0
159,9,15,1,0,0,159,14,142.0,,0.0,607260361.523947,951642.0,674089.0,0.0,0.0,110581.0,103341.0,0.0,0.0
160,9,14,1,0,0,160,14,68.0,,0.0,607276436.076119,723478.0,579172.0,0.0,0.0,0.0,0.0,0.0,0.0
161,9,2,0,0,0,161,13,17.0,,0.0,607276803.70104,30235.0,17519.0,0.0,0.0,227.0,500.0,0.0,0.0
162,9,22,1,0,0,162,14,125.0,,0.0,607277029.475529,299397.0,222039.0,0.0,0.0,16337.0,9859.0,0.0,0.0
163,9,7,1,0,0,163,14,60.0,,0.0,607290349.391758,204999.0,148888.0,0.0,0.0,0.0,0.0,0.0,0.0
164,9,37,1,0,0,164,14,124.0,,0.0,607527605.520568,1958680.0,1843224.0,0.0,0.0,20091.0,20544.0,0.0,0.0
165,9,34,1,0,0,165,14,547.0,,0.0,607527627.1633,4050325.0,1543847.0,0.0,0.0,610704.0,143083.0,0.0,0.0
166,9,41,1,0,0,166,14,147.0,,0.0,607527637.018684,3211348.0,4063309.0,0.0,0.0,0.0,0.0,0.0,0.0
167,9,2,0,0,0,167,13,2.0,,0.0,607528106.133663,9696.0,6808.0,0.0,0.0,0.0,0.0,0.0,0.0
168,9,706,1,0,0,168,14,9030.0,,0.0,607623611.078937,137433649.0,32022070.0,0.0,0.0,825956.0,669288.0,0.0,0.0
169,9,110,1,0,0,169,14,271.0,,0.0,607632663.943616,641252.0,416232.0,0.0,0.0,35833.0,26639.0,0.0,0.0
170,9,4,0,0,0,170,13,10.0,,0.0,607710121.271827,49129.0,24727.0,0.0,0.0,0.0,0.0,0.0,0.0
171,9,14,1,0,0,171,14,49.0,,0.0,607714045.439571,1190479.0,709226.0,0.0,0.0,0.0,0.0,0.0,0.0
172,9,3,0,0,0,172,13,3.0,,0.0,607726345.737461,22557.0,19076.0,0.0,0.0,7297.0,7494.0,0.0,0.0
173,9,2,0,0,0,173,13,2.0,,0.0,607729953.471615,9450.0,13355.0,0.0,0.0,24198.0,8696.0,0.0,0.0
174,9,2,0,0,0,174,13,2.0,,0.0,607730864.577184,6159.0,1606.0,0.0,0.0,6251.0,1606.0,0.0,0.0
175,9,20,1,0,0,15,14,108.0,,0.0,607739692.879707,180398.0,30333.0,0.0,0.0,42088.0,6881.0,0.0,0.0
176,9,51,1,0,0,19,14,397.0,,4.0,607739692.87163,455281117.0,6746408.0,0.0,0.0,0.0,0.0,0.0,0.0
177,9,123,1,0,0,51,14,350.0,,0.0,607739724.36639,2107092.0,968761.0,0.0,0.0,31020.0,16370.0,0.0,0.0
178,9,103,1,0,0,64,14,76.0,,0.0,607739935.29417,3309615.0,326631.0,0.0,0.0,6746.0,10411.0,0.0,0.0
179,9,317,1,0,0,95,14,913.0,,0.0,607742021.355139,5021628.0,3100382.0,0.0,0.0,133715.0,40044.0,0.0,0.0
180,9,23,1,0,0,66,14,154.0,,0.0,607742010.653751,1565333.0,391179.0,0.0,0.0,0.0,0.0,0.0,0.0
181,9,129,1,0,0,102,14,463.0,,0.0,607755719.952189,3896212.0,41317574.0,0.0,0.0,1194285.0,28955636.0,0.0,0.0
182,9,75,1,0,0,105,14,640.0,,0.0,607758962.506242,1362498.0,514168.0,0.0,0.0,9255399.0,1725520.0,3127059.0,413305.0
183,9,126,1,0,0,59,14,349.0,,0.0,607773062.937412,1669542.0,922915.0,0.0,0.0,63601.0,34376.0,0.0,0.0
184,9,123,1,0,0,57,14,439.0,,0.0,607773062.719572,2331271.0,1403130.0,0.0,0.0,0.0,0.0,0.0,0.0
