ID,timestamp,timestampLogged,BBDate,DeepSleepDuration,Error,EventCode,LightSleepDuration,ML1State,Payload,SleepDisabledSclk,SleepEnableSclk,StateDuration,Version
11601,1586931705.684608,1586931908.354979,1586931676.479,5989,0,45452,48,1,"{length = 40, bytes = 0x03000000 01000000 d884abf6 492aaff6 ... 00000000 00000000 }",4138674761,4138435800,7293,3
11602,1586932000.835608,1586932387.3340282,1586931971.63,44983,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 f8d42bf7 8fb942f7 ... 00000000 00000000 }",4148345231,4146844920,45791,3
11603,1586932017.091608,1586932387.3432012,1586931987.886,2068,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 3aa549f7 17da4af7 ... 00000000 00000000 }",4148877847,4148798778,2413,3
11604,1586933001.776608,1586933342.500966,1586932972.571,7121,0,45452,0,0,"{length = 40, bytes = 0x03000000 00209172 2a7533f9 602437f9 ... 00000000 00000000 }",4181140576,4180899114,7370,3
11605,1586933017.843608,1586933342.5126562,1586932988.638,2196,0,45452,37,1,"{length = 40, bytes = 0x03000000 01000000 e8ce3df9 b92c3ff9 ... 25000000 00000000 }",4181667001,4181577448,2733,3
11606,1586933020.987608,1586933342.513617,1586932991.782,2729,0,45452,0,0,"{length = 40, bytes = 0x03000000 00210100 bb2c3ff9 20bf40f9 ... 00000000 00000000 }",4181770016,4181667003,3144,3
11607,1586933037.375608,1586933342.5206232,1586933008.17,2245,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 bc9247f9 8ef048f9 ... 00000000 00000000 }",4182306958,4182217404,2733,3
11608,1586933526.598608,1586933714.236442,1586933497.393,85347,0,45452,0,0,"{length = 40, bytes = 0x03000000 00bcec00 882712fa 74863dfa ... 00000000 00000000 }",4198336116,4195493768,86752,3
11609,1586933543.123608,1586933714.2828002,1586933513.918,2068,0,45452,0,1,"{length = 40, bytes = 0x03000000 01bcec00 c79344fa 6ac945fa ... 00000000 00000000 }",4198877546,4198798279,2419,3
11610,1586934041.138608,1586934677.161204,1586934011.933,82763,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 fbaf14fb 90c43efb ... 00000000 00000000 }",4215194768,4212436987,84171,3
11611,1586934057.323608,1586934677.166822,1586934028.118,6163,0,45452,0,1,"{length = 40, bytes = 0x03000000 0100ffff 22ee42fb 03dc46fb ... 00000000 00000000 }",4215725059,4215467554,7859,3
11612,1586934676.6016078,1586935052.459191,1586934647.396,1441,0,45452,12,0,"{length = 40, bytes = 0x03000000 00000000 9eb07bfc 13777cfc ... 00000000 00000000 }",4236015379,4235964574,1551,3
11613,1586934687.169608,1586935052.4607372,1586934657.964,2850,0,45452,0,1,"{length = 40, bytes = 0x03000000 01fa68a0 e60f80fc 9fbf81fc ... 00000000 00000000 }",4236361631,4236251110,3373,3
11614,1586934782.0416079,1586935052.471367,1586934752.836,87645,0,45452,12,0,"{length = 40, bytes = 0x03000000 00209862 23a684fc fd2db1fc ... 00000000 00000000 }",4239470077,4236551715,89072,3
11615,1586934792.610608,1586935052.4727502,1586934763.405,3147,0,45452,0,1,"{length = 40, bytes = 0x03000000 01dead00 f99db4fc a976b6fc ... 00000000 00000000 }",4239816361,4239695353,3693,3
11616,1586935061.302608,1586935793.2886782,1586935032.097,25944,0,45452,0,0,"{length = 40, bytes = 0x03000000 00000000 da822ffd 89cb3cfd ... 00000000 00000000 }",4248619913,4247749338,26571,3
11617,1586935077.263608,1586935793.2903762,1586935048.058,1956,0,45452,0,1,"{length = 40, bytes = 0x03000000 01013323 b39143fd 70c644fd ... 00000000 00000000 }",4249142896,4249063859,2412,3
11618,1586936081.4836082,1586936474.565395,1586936052.278,76504,0,45452,12,0,"{length = 40, bytes = 0x03000000 00000000 c8f013ff d0d43aff ... 00000000 00000000 }",4282045648,4279496904,77791,3
11619,1586936097.928608,1586936474.5666423,1586936068.723,3147,0,45452,0,1,"{length = 40, bytes = 0x03000000 01000000 d93441ff 890d43ff ... 00000000 00000000 }",4282584457,4282463449,3693,3
11620,1586936473.1546078,1586936474.585725,1586936443.949,91422,0,45452,12,0,"{length = 40, bytes = 0x03000000 00000000 b714d0ff 57a5feff ... 00000000 00000000 }",4294878551,4291826871,93141,3
11621,1586936483.770608,1586937101.4831991,1586936454.565,8384,0,45452,128,1,"{length = 40, bytes = 0x03000000 01000000 58a5feff 08f40300 ... 1b000000 00000000 }",259080,4294878552,10616,3
